treated	age	educ	black	married	nodegree	dwincl	re74	re75	re78	hisp	early_ra	sample
	54	18	0	1	0		19412.416	18189.678	16716.043	0		2.0
	48	16	0	1	0		25862.322	25243.549	25564.67	0		2.0
	54	16	0	1	0		11069.857	10741.936	0.0	0		2.0
	48	13	0	1	0		0.0	0.0	0.0	0		2.0
	51	18	0	1	0		25862.322	25243.549	25564.67	0		2.0
	51	18	0	1	0		8889.193	24437.902	11489.324	0		2.0
	48	12	0	1	0		25862.322	25243.549	25564.67	0		2.0
	48	12	0	1	0		25862.322	25243.549	25564.67	0		2.0
	51	16	0	1	0		0.0	0.0	0.0	0		2.0
	54	12	0	1	0		19919.865	19374.871	20312.83	0		2.0
	54	12	0	1	0		25862.322	25243.549	23244.639	0		2.0
	54	12	0	1	0		12678.415	12478.549	15923.981	0		2.0
	54	12	0	1	0		25862.322	25243.549	25564.67	0		2.0
	51	15	0	1	0		12788.135	12992.371	7415.232	0		2.0
	51	14	0	1	0		22345.438	25243.549	24245.06	0		2.0
	44	12	0	1	0		25862.322	25055.564	25564.67	0		2.0
	51	12	0	1	0		21236.492	17949.773	22204.32	0		2.0
	51	12	0	1	0		25862.322	25243.549	215.74808	0		2.0
	51	8	0	1	1		20221.592	14548.161	6921.6714	0		2.0
	51	8	0	1	1		9847.275	10756.258	10635.198	0		2.0
	51	3	0	1	1		13246.603	11964.726	12605.008	1		2.0
	43	16	0	1	0		17182.77	22568.807	19968.52	0		2.0
	43	15	0	1	0		2121.886	3260.1775	0.0	0		2.0
	47	14	0	1	0		19714.143	18368.709	4317.917	0		2.0
	38	12	0	1	0		17312.082	15957.1455	0.0	0		2.0
	47	13	0	1	0		25862.322	25243.549	25564.67	0		2.0
	47	12	0	1	0		19177.303	18280.984	15740.743	0		2.0
	47	12	0	1	0		8052.5864	7533.6772	0.0	0		2.0
	47	12	0	1	0		25862.322	25243.549	9500.304	0		2.0
	47	12	0	1	0		25862.322	25243.549	25564.67	0		2.0
	47	12	0	1	0		25862.322	25243.549	25564.67	0		2.0
	47	12	0	1	0		0.0	0.0	0.0	0		2.0
	47	12	0	1	0		25862.322	23293.887	0.0	0		2.0
	47	12	0	1	0		18871.658	18366.92	19785.281	0		2.0
	47	12	0	1	0		16218.811	11583.387	20578.82	0		2.0
	47	12	0	1	0		25862.322	20522.467	24505.14	0		2.0
	46	10	1	1	1		17741.16	17136.967	21438.857	0		2.0
	43	12	0	1	0		25862.322	0.0	25564.67	0		2.0
	43	12	0	1	0		18334.818	18692.758	20100.037	0		2.0
	43	12	0	1	0		16303.059	14752.258	11965.152	0		2.0
	50	18	0	1	0		25862.322	25243.549	25564.67	0		2.0
	50	18	0	1	0		23611.125	23376.242	23315.57	0		2.0
	47	6	0	1	1		0.0	0.0	0.0	0		2.0
	53	16	0	1	0		3869.552	9345.483	15294.47	0		2.0
	50	16	0	1	0		25862.322	25243.549	25564.67	0		2.0
	50	16	0	1	0		0.0	0.0	0.0	0		2.0
	53	15	0	1	0		25862.322	25243.549	25564.67	0		2.0
	18	12	0	0	0		0.0	3485.758	5980.3594	0		2.0
	18	12	0	0	0		0.0	0.0	15024.046	0		2.0
	53	14	0	1	0		20985.707	20289.727	20692.605	0		2.0
	53	13	0	1	0		25862.322	25243.549	25564.67	0		2.0
	50	11	0	1	1		21367.764	20950.355	23577.127	0		2.0
	53	12	0	1	0		25738.889	24742.258	25564.67	0		2.0
	53	12	0	1	0		9761.067	13393.403	2936.2427	0		2.0
	53	12	0	1	0		25862.322	25243.549	25564.67	0		2.0
	53	12	0	1	0		18544.46	11631.726	0.0	0		2.0
	53	12	0	1	0		25862.322	25243.549	25564.67	0		2.0
	53	12	0	1	0		25862.322	25243.549	25564.67	0		2.0
	53	12	0	1	0		25862.322	25243.549	25564.67	0		2.0
	48	13	0	0	0		256.66394	0.0	6562.5835	0		2.0
	50	12	0	1	0		2901.674	1962.1936	118.218124	0		2.0
	50	12	0	1	0		15221.544	15776.322	15829.407	0		2.0
	50	12	0	1	0		21162.041	21485.662	21698.938	0		2.0
	50	12	0	1	0		25862.322	25243.549	25564.67	0		2.0
	50	12	0	1	0		25862.322	24090.58	0.0	0		2.0
	50	12	0	1	0		16540.13	13019.226	13869.941	0		2.0
	50	12	0	1	0		22098.57	22830.193	16407.197	0		2.0
	53	9	0	1	1		20838.762	20989.742	21192.076	0		2.0
	54	12	0	0	0		0.0	0.0	0.0	0		2.0
	42	18	0	1	0		25439.121	23275.984	25564.67	0		2.0
	42	16	0	1	0		25862.322	24321.533	195.0599	0		2.0
	46	17	0	1	0		25862.322	25243.549	11245.499	0		2.0
	46	16	0	1	0		0.0	0.0	0.0	0		2.0
	42	10	0	1	1		25862.322	25243.549	14155.143	0		2.0
	46	15	0	1	0		10125.491	11572.6455	7131.5083	0		2.0
	46	14	0	1	0		25862.322	13445.322	0.0	0		2.0
	46	14	0	1	0		19384.986	16680.436	19089.271	0		2.0
	42	8	0	1	1		20766.27	21845.516	24078.076	0		2.0
	46	12	0	1	0		16475.475	16497.822	19294.676	0		2.0
	55	18	0	1	0		25862.322	25243.549	25564.67	0		2.0
	55	16	0	1	0		25862.322	25243.549	25564.67	0		2.0
	46	6	0	1	1		21164.0	17885.322	25564.67	0		2.0
	55	15	0	1	0		22319.967	25243.549	25564.67	0		2.0
	55	15	0	1	0		24608.39	25243.549	25564.67	0		2.0
	55	14	0	1	0		0.0	0.0	0.0	0		2.0
	55	14	0	1	0		24200.863	25243.549	0.0	0		2.0
	55	14	0	1	0		17137.707	0.0	25564.67	0		2.0
	55	13	0	1	0		25862.322	25243.549	25564.67	0		2.0
	55	13	0	1	0		0.0	0.0	0.0	0		2.0
	55	12	0	1	0		16859.49	20889.484	15307.77	0		2.0
	55	12	0	1	0		11814.379	0.0	0.0	0		2.0
	55	12	0	1	0		25862.322	25243.549	25564.67	0		2.0
	55	12	0	1	0		17743.121	14498.032	11609.02	0		2.0
	55	12	0	1	0		25862.322	25243.549	564.4916	0		2.0
	55	12	0	1	0		5509.458	16716.242	11867.622	0		2.0
	55	12	0	1	0		15752.505	18798.387	13179.844	0		2.0
	55	12	0	1	0		25862.322	25243.549	25564.67	0		2.0
	55	12	0	1	0		12472.692	11511.774	11572.077	0		2.0
	55	12	0	1	0		14333.996	15692.178	15613.659	0		2.0
	55	12	0	1	0		9796.334	12800.807	14777.266	0		2.0
	55	12	0	1	0		25409.73	22565.227	25320.846	0		2.0
	55	12	0	1	0		0.0	0.0	0.0	0		2.0
	55	10	0	1	1		0.0	0.0	0.0	0		2.0
	52	18	0	1	0		25862.322	25243.549	25564.67	0		2.0
	55	9	0	1	1		15252.892	25243.549	25564.67	0		2.0
	49	15	0	1	0		25862.322	5370.968	0.0	0		2.0
	24	13	0	0	0		15664.338	12073.936	14904.351	0		2.0
	52	16	0	1	0		5478.11	22507.936	23877.105	0		2.0
	26	12	0	0	0		1201.0305	0.0	21659.04	0		2.0
	41	14	0	1	0		25862.322	25243.549	25564.67	0		2.0
	35	12	0	1	0		24582.92	23788.016	24726.799	0		2.0
	49	12	0	1	0		12094.554	4296.7744	1861.9354	0		2.0
	49	12	0	1	0		25862.322	20400.727	18444.982	0		2.0
	49	12	0	1	0		20944.562	19290.727	20001.03	0		2.0
	49	12	0	1	0		16018.966	22262.662	16153.029	0		2.0
	52	14	0	1	0		25862.322	25243.549	25564.67	0		2.0
	41	13	0	1	0		19030.36	18300.678	19537.023	0		2.0
	49	9	0	1	1		21064.078	25243.549	25564.67	0		2.0
	55	4	0	1	1		24377.197	20026.549	20398.537	0		2.0
	41	12	0	1	0		25862.322	25243.549	25564.67	0		2.0
	52	12	0	1	0		25862.322	25243.549	19039.03	0		2.0
	52	12	0	1	0		4633.666	12668.322	21520.133	0		2.0
	52	12	0	1	0		21067.996	22785.436	23745.588	0		2.0
	52	12	0	1	0		25862.322	25243.549	25564.67	0		2.0
	52	12	0	1	0		25862.322	24650.951	24883.438	0		2.0
	52	12	0	1	0		25862.322	16970.467	25564.67	0		2.0
	52	12	0	1	0		23973.588	21548.322	17748.975	0		2.0
	52	10	0	1	1		13873.568	12489.29	13785.711	1		2.0
	45	11	0	1	1		852.28107	0.0	0.0	0		2.0
	45	12	0	1	0		21324.66	23370.871	18196.725	0		2.0
	45	12	0	1	0		25862.322	25243.549	25564.67	0		2.0
	45	12	0	1	0		0.0	4407.7744	12303.552	0		2.0
	45	12	0	1	0		25862.322	23548.113	24738.621	0		2.0
	45	12	0	1	0		25862.322	25243.549	25564.67	0		2.0
	52	7	0	1	1		25862.322	14514.1455	25564.67	1		2.0
	40	16	0	1	0		25862.322	25243.549	25564.67	0		2.0
	40	12	0	1	0		24016.693	18404.516	17586.424	0		2.0
	40	12	0	1	0		25862.322	25243.549	25564.67	0		2.0
	40	12	0	1	0		13634.538	15298.307	20627.586	0		2.0
	40	12	0	1	0		25862.322	25243.549	23653.969	0		2.0
	48	18	0	1	0		25862.322	25243.549	25564.67	0		2.0
	48	18	0	1	0		0.0	0.0	0.0	0		2.0
	48	17	0	1	0		0.0	0.0	0.0	0		2.0
	54	17	0	1	0		10458.566	11483.129	14292.571	0		2.0
	54	16	0	1	0		13483.674	3732.8225	13636.461	0		2.0
	54	15	0	1	0		4406.391	6412.9355	67.975426	0		2.0
	54	15	0	1	0		19776.84	21100.742	22446.666	0		2.0
	48	13	0	1	0		0.0	0.0	0.0	0		2.0
	48	13	0	1	0		25862.322	20714.033	25564.67	0		2.0
	44	18	0	1	0		20674.184	21127.598	20822.645	0		2.0
	51	18	0	1	0		25862.322	25243.549	0.0	0		2.0
	54	14	0	1	0		19202.773	19437.533	20215.299	0		2.0
	48	12	0	1	0		23146.777	5297.5645	25564.67	0		2.0
	54	14	0	1	0		25862.322	24362.709	25564.67	0		2.0
	48	12	0	1	0		25862.322	12084.678	25564.67	0		2.0
	48	12	0	1	0		0.0	0.0	0.0	0		2.0
	48	12	0	1	0		25862.322	25243.549	24273.137	0		2.0
	48	12	0	1	0		0.0	0.0	0.0	0		2.0
	48	12	0	1	0		25591.943	25243.549	25564.67	0		2.0
	54	13	0	1	0		0.0	0.0	0.0	0		2.0
	54	13	0	1	0		22611.898	19672.064	21264.486	0		2.0
	44	16	0	1	0		25862.322	25243.549	25564.67	0		2.0
	44	16	0	1	0		25862.322	25243.549	25564.67	0		2.0
	51	16	0	1	0		25862.322	24860.42	24574.594	0		2.0
	51	16	0	1	0		3607.0103	25243.549	0.0	0		2.0
	54	12	0	1	0		25862.322	1229.9517	25564.67	0		2.0
	54	12	0	1	0		19982.562	19960.307	17206.648	0		2.0
	54	12	0	1	0		21058.2	21303.049	22508.73	0		2.0
	54	12	0	1	0		0.0	0.0	0.0	0		2.0
	54	12	0	1	0		15196.073	14188.307	1052.1414	0		2.0
	54	12	0	1	0		0.0	0.0	0.0	0		2.0
	54	12	0	1	0		25862.322	25243.549	25564.67	0		2.0
	54	12	0	1	0		22415.97	21118.645	23322.959	0		2.0
	54	12	0	1	0		14531.882	13259.129	25564.67	0		2.0
	54	12	0	1	0		25862.322	25243.549	25564.67	0		2.0
	54	12	0	1	0		25862.322	25243.549	25564.67	0		2.0
	54	12	0	1	0		5166.5864	1963.9839	4473.078	0		2.0
	54	12	0	1	0		15127.499	12247.597	13698.525	0		2.0
	54	12	0	1	0		25862.322	25243.549	25564.67	0		2.0
	54	12	0	1	0		25862.322	25243.549	25564.67	0		2.0
	54	12	0	1	0		20374.416	20499.193	10261.333	0		2.0
	48	8	0	1	1		5470.273	2588.8064	8703.81	0		2.0
	51	15	0	1	0		5593.7065	12396.193	2523.957	0		2.0
	51	15	0	1	0		25862.322	16453.064	14605.85	0		2.0
	44	14	0	1	0		16908.473	1315.8871	24276.092	0		2.0
	51	14	0	1	0		0.0	0.0	0.0	0		2.0
	54	8	0	1	1		22878.36	20137.549	17918.912	0		2.0
	54	8	0	1	1		25276.502	22241.178	25564.67	0		2.0
	44	13	0	1	0		25862.322	25243.549	25564.67	0		2.0
	48	6	0	1	1		23773.744	5650.2583	0.0	0		2.0
	51	13	0	1	0		14569.108	20171.564	21664.95	0		2.0
	44	12	0	1	0		22029.996	14598.29	25564.67	0		2.0
	44	12	0	1	0		8270.065	8359.017	12610.919	0		2.0
	44	12	0	1	0		21465.727	17532.629	25564.67	0		2.0
	44	12	0	1	0		18916.72	16182.726	21121.146	0		2.0
	44	12	0	1	0		25862.322	25243.549	25564.67	0		2.0
	51	12	0	1	0		25862.322	25243.549	25564.67	0		2.0
	51	12	0	1	0		25862.322	25243.549	25564.67	0		2.0
	51	12	0	1	0		20376.375	22110.484	23495.852	0		2.0
	51	12	0	1	0		11755.601	10741.936	8866.359	0		2.0
	51	12	0	1	0		25862.322	25243.549	25564.67	0		2.0
	51	12	0	1	0		10648.615	4434.629	0.0	0		2.0
	51	12	0	1	0		25862.322	25243.549	25564.67	0		2.0
	39	12	0	1	0		25862.322	25243.549	25564.67	0		2.0
	39	10	0	1	1		25862.322	25243.549	25564.67	0		2.0
	54	6	0	1	1		14451.552	14915.178	16450.053	1		2.0
	51	1	0	1	1		20309.76	13584.968	0.0	0		2.0
	47	18	0	1	0		17999.783	23184.678	25564.67	0		2.0
	47	16	0	1	0		25260.826	25243.549	4422.8354	0		2.0
	47	14	0	1	0		0.0	0.0	0.0	0		2.0
	38	12	0	1	0		25744.766	19570.016	16631.812	0		2.0
	38	12	0	1	0		25862.322	25243.549	25564.67	0		2.0
	43	14	0	1	0		21996.688	23066.516	594.0461	0		2.0
	47	13	0	1	0		3309.2017	762.6774	1915.1337	0		2.0
	47	12	0	1	0		25862.322	23979.58	25564.67	0		2.0
	47	12	0	1	0		9860.99	13128.436	6598.0493	0		2.0
	47	12	0	1	0		23370.135	3827.7097	23225.428	0		2.0
	47	12	0	1	0		25862.322	25243.549	20609.852	0		2.0
	47	12	0	1	0		25862.322	25243.549	25564.67	0		2.0
	47	12	0	1	0		3136.7861	2866.3064	4945.9507	0		2.0
	47	12	0	1	0		10897.442	20316.58	19395.162	0		2.0
	47	12	0	1	0		14392.774	9538.839	664.9769	0		2.0
	47	12	0	1	0		25862.322	25243.549	25564.67	0		2.0
	47	12	0	1	0		15356.733	5934.9194	11051.917	0		2.0
	43	12	0	1	0		0.0	18212.951	12893.164	0		2.0
	43	12	0	1	0		0.0	0.0	0.0	0		2.0
	43	12	0	1	0		25862.322	23243.758	25564.67	0		2.0
	43	12	0	1	0		0.0	0.0	0.0	0		2.0
	43	12	0	1	0		24747.498	22597.451	12305.029	0		2.0
	43	12	0	1	0		19334.045	17996.322	19664.107	0		2.0
	43	12	0	1	0		25862.322	25243.549	25564.67	0		2.0
	43	12	0	1	0		25862.322	25243.549	25564.67	0		2.0
	43	12	0	1	0		25862.322	25243.549	13119.257	0		2.0
	43	12	0	1	0		12968.387	16773.533	21944.24	0		2.0
	43	12	0	1	0		21395.193	19550.322	21211.287	0		2.0
	43	12	0	1	0		23961.832	22735.307	20298.053	0		2.0
	43	9	0	1	1		23091.918	21363.92	25508.516	0		2.0
	50	18	0	1	0		23203.598	25243.549	25564.67	0		2.0
	50	18	0	1	0		25862.322	25243.549	25564.67	0		2.0
	50	18	0	1	0		25836.852	25243.549	25564.67	0		2.0
	50	18	0	1	0		25862.322	25243.549	7573.3486	0		2.0
	43	8	0	1	1		14784.627	14250.968	7815.696	0		2.0
	43	8	0	1	1		23089.959	21548.322	20738.414	0		2.0
	43	8	0	1	1		22966.525	22640.42	21846.709	0		2.0
	53	16	0	1	0		25862.322	25243.549	25564.67	0		2.0
	50	16	0	1	0		25862.322	25243.549	25564.67	0		2.0
	18	11	0	0	1		460.4277	179.03226	25564.67	0		2.0
	47	12	0	1	0		0.0	0.0	0.0	1		2.0
	18	12	0	0	0		0.0	1416.1451	11273.576	0		2.0
	50	13	0	1	0		25862.322	25243.549	25564.67	0		2.0
	50	13	0	1	0		0.0	4305.7256	16651.023	0		2.0
	53	12	0	1	0		25862.322	25243.549	25564.67	0		2.0
	53	12	0	1	0		25862.322	25243.549	25564.67	0		2.0
	53	12	0	1	0		25862.322	25243.549	25564.67	0		2.0
	53	12	0	1	0		0.0	0.0	0.0	0		2.0
	53	12	0	1	0		19927.703	18323.951	13943.828	0		2.0
	53	12	0	1	0		1782.9327	1765.258	0.0	0		2.0
	53	12	0	1	0		25862.322	21005.855	19050.852	0		2.0
	53	12	0	1	0		21140.488	21063.145	22032.902	0		2.0
	53	12	0	1	0		2917.3484	1801.0646	1338.8203	0		2.0
	53	12	0	1	0		25787.87	25243.549	25564.67	0		2.0
	53	12	0	1	0		16322.651	21986.951	18564.68	0		2.0
	53	12	0	1	0		20533.115	18263.08	18072.596	0		2.0
	53	10	0	1	1		17219.996	15269.661	0.0	0		2.0
	53	10	0	1	1		9392.725	10473.387	8128.974	0		2.0
	50	12	0	1	0		0.0	0.0	0.0	0		2.0
	50	12	0	1	0		0.0	0.0	0.0	0		2.0
	50	12	0	1	0		25862.322	25243.549	25168.639	0		2.0
	50	12	0	1	0		23086.041	24441.484	25564.67	0		2.0
	37	14	0	1	0		23317.234	23399.516	25564.67	0		2.0
	53	7	0	1	1		19257.633	10331.951	8739.275	0		2.0
	53	7	0	1	1		20825.047	18488.662	18690.285	0		2.0
	37	12	0	1	0		25862.322	25243.549	25564.67	0		2.0
	19	13	0	0	0		3871.5112	4916.2256	1687.5637	0		2.0
	53	6	0	1	1		15983.698	17999.902	18162.738	0		2.0
	19	12	0	0	0		1383.2423	134.2742	2107.238	0		2.0
	19	12	0	0	0		6005.153	8242.6455	15368.356	0		2.0
	46	18	0	1	0		25862.322	25243.549	25564.67	0		2.0
	46	18	0	1	0		25862.322	25243.549	1182.1813	0		2.0
	42	14	0	1	0		0.0	7095.0483	10790.359	0		2.0
	20	12	0	0	0		0.0	1147.5968	15554.55	0		2.0
	42	12	0	1	0		25862.322	25243.549	25564.67	0		2.0
	42	12	0	1	0		25862.322	25243.549	25564.67	0		2.0
	42	12	0	1	0		25862.322	25243.549	25564.67	0		2.0
	42	12	0	1	0		25862.322	25243.549	25564.67	0		2.0
	42	12	0	1	0		25862.322	20782.064	16445.62	0		2.0
	42	12	0	1	0		25862.322	25223.855	22858.953	0		2.0
	42	12	0	1	0		20039.38	25243.549	25564.67	0		2.0
	20	12	0	0	0		6882.9043	4482.968	7709.2993	0		2.0
	20	12	0	0	0		5084.2974	8745.726	21251.186	0		2.0
	20	12	0	0	0		239.03055	19.693548	8653.566	0		2.0
	20	12	0	0	0		8048.668	8579.226	6671.9355	0		2.0
	46	14	0	1	0		16497.027	14267.081	20896.531	0		2.0
	46	14	0	1	0		8097.65	13740.726	5346.4146	0		2.0
	46	14	0	1	0		25862.322	25243.549	25564.67	0		2.0
	46	14	0	1	0		25862.322	25243.549	25564.67	0		2.0
	46	13	0	1	0		14216.439	15121.064	16012.6455	0		2.0
	46	12	0	1	0		22380.705	20753.42	16993.855	0		2.0
	46	12	0	1	0		19743.531	21206.371	25564.67	0		2.0
	46	12	0	1	0		14098.884	14009.274	14271.883	0		2.0
	46	12	0	1	0		9794.375	21483.871	17732.719	0		2.0
	46	12	0	1	0		18636.545	18214.742	20485.723	0		2.0
	46	12	0	1	0		16743.895	16445.902	17302.701	0		2.0
	46	12	0	1	0		25862.322	25243.549	25564.67	0		2.0
	46	12	0	1	0		25862.322	25243.549	25564.67	0		2.0
	46	12	0	1	0		25862.322	25243.549	0.0	0		2.0
	46	12	0	1	0		6073.727	537.0968	0.0	0		2.0
	46	12	0	1	0		13319.096	20069.516	10431.271	0		2.0
	46	12	0	1	0		0.0	0.0	0.0	0		2.0
	46	12	0	1	0		25862.322	25243.549	25564.67	0		2.0
	36	13	0	1	0		25862.322	25243.549	25564.67	0		2.0
	46	10	0	1	1		10237.169	7959.7744	13111.868	0		2.0
	36	12	0	1	0		0.0	0.0	0.0	0		2.0
	55	18	0	1	0		25862.322	25243.549	25564.67	0		2.0
	55	18	0	1	0		25862.322	25243.549	25564.67	0		2.0
	55	16	0	1	0		25862.322	25243.549	25564.67	0		2.0
	55	16	0	1	0		25862.322	25243.549	22349.137	0		2.0
	55	16	0	1	0		0.0	3512.6128	16794.363	0		2.0
	55	15	0	1	0		0.0	0.0	0.0	0		2.0
	55	14	0	1	0		4120.338	6853.355	1663.9202	0		2.0
	22	12	0	0	0		666.1507	68.03226	0.0	0		2.0
	55	13	0	1	0		21790.965	19532.42	19377.428	0		2.0
	55	11	0	1	1		12190.558	13099.79	17521.404	0		2.0
	55	11	0	1	1		13902.957	13355.807	16124.952	0		2.0
	55	11	0	1	1		12071.043	11946.822	7224.605	0		2.0
	49	17	0	1	0		25862.322	25243.549	25564.67	0		2.0
	55	12	0	1	0		25860.363	5295.7744	5646.393	0		2.0
	55	12	0	1	0		18178.078	15833.613	14973.804	0		2.0
	55	12	0	1	0		16056.191	15595.5	16235.782	0		2.0
	55	12	0	1	0		0.0	0.0	0.0	0		2.0
	55	12	0	1	0		0.0	0.0	0.0	0		2.0
	55	12	0	1	0		25862.322	25243.549	0.0	0		2.0
	55	12	0	1	0		0.0	0.0	0.0	0		2.0
	55	12	0	1	0		24181.271	24165.773	25564.67	0		2.0
	55	12	0	1	0		23158.533	24525.629	7226.083	0		2.0
	55	12	0	1	0		17368.9	16630.307	20920.176	0		2.0
	55	12	0	1	0		25862.322	24690.338	23129.377	0		2.0
	55	12	0	1	0		25862.322	18941.613	22853.041	0		2.0
	55	12	0	1	0		5770.0405	8817.339	22740.734	0		2.0
	55	12	0	1	0		25862.322	25243.549	25564.67	0		2.0
	55	12	0	1	0		25862.322	11544.0	22164.42	0		2.0
	55	12	0	1	0		18846.188	18266.662	17995.754	0		2.0
	55	12	0	1	0		25862.322	25243.549	25564.67	0		2.0
	55	12	0	1	0		25862.322	25243.549	19200.102	0		2.0
	55	10	0	1	1		21828.191	23127.387	16779.586	0		2.0
	49	16	0	1	0		25862.322	25243.549	25564.67	0		2.0
	49	16	0	1	0		22319.967	20180.516	19761.637	0		2.0
	49	16	0	1	0		25862.322	25243.549	25564.67	0		2.0
	52	18	0	1	0		25862.322	25243.549	25564.67	0		2.0
	52	18	0	1	0		25862.322	25243.549	24701.678	0		2.0
	49	15	0	1	0		14704.297	15514.936	18088.852	0		2.0
	52	17	0	1	0		0.0	0.0	5415.8677	0		2.0
	55	8	0	1	1		25862.322	25243.549	24395.787	0		2.0
	55	8	0	1	1		25862.322	25243.549	25564.67	0		2.0
	52	16	0	1	0		25862.322	25243.549	25564.67	0		2.0
	52	16	0	1	0		25862.322	20912.758	5331.6377	0		2.0
	49	13	0	1	0		25862.322	25243.549	24803.64	0		2.0
	52	15	0	1	0		23955.955	25243.549	24075.121	0		2.0
	52	15	0	1	0		25862.322	25243.549	25564.67	0		2.0
